"facilityid","facilityname","siteaddress","streetnumber","streetdirection","streetname","streettype","streetunit","city","state","zip","typeoffacility","categoryoffacility","inspectiontype","inspectiondate","violationcode","violation","violationpoints","violationtype","violationstatus","inspectionscore","location"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2014-08-12","AM19","Written Employee Illness Policy",5,"Non-Critical","Full",55,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2014-08-12","AM22","Do You Have a Dial Thermometer",0,"Non-Critical","Full",55,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2014-08-12","AM21","Do Your Have a Thermocouple or Digital Thermometer",5,"Non-Critical","Full",55,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2014-08-12","AM10","Document Handwashing Glove Use",10,"Non-Critical","In",55,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2014-08-12","AM20","Paid Sick Leave",5,"Non-Critical","In",55,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2014-08-12","AM24","Document Food Temperatures Frequently Cooling Initial Cook Receiving & Reheating",5,"Non-Critical","Full",55,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2014-08-12","AM7","Private Corporate Food Safety Inspections",10,"Non-Critical","Half",55,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2014-08-12","AM26","Contracts for Preventative Maintenance Full For All 3 Half For 1 OR 2 NO For None",10,"Non-Critical","Full",55,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","01C","Cross Contamination",0,"Critical","In",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2014-08-12","AM25","Document Thermometer Calibration",5,"Non-Critical","In",55,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2014-08-12","AM5","Conduct Daily Food Safety Inspections",10,"Non-Critical","In",55,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2014-08-12","AM18","Document Sanitizer Concentrations and Usage",10,"Non-Critical","In",55,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","15B","Linen Properly Stored",0,"Non-Critical","Not Observed",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2014-08-12","AM3","All Staff Receive Formal Food Safety Training",10,"Non-Critical","Full",55,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2014-08-12","11B","Dishmachine With Accurate Thermometer & Gauge Cock",0,"Non-Critical","Not Observed",10,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2014-08-12","AM1","Certified Food Safety Manager",10,"Non-Critical","Full",55,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2014-08-12","AM23","Thin Probe Available",5,"Non-Critical","Full",55,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
"FA0001251","BLACK CAT","1964 13TH ST","1964",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ROUTINE INSPECTION","2017-03-03","14E","Ventilation",0,"Non-Critical","Not Observed",75,"1964 13TH ST
BOULDER, CO 80302
(40.017825, -105.278567)"
